trial_id,block,image_id,cond_izquierda,cond_derecha,ssim,sextante,degradacion,metodos_izq,metodos_der,dH,dSSIM,dVIF
2e97d3e97a,Q2,138,sol:4,original,0.5937,posterior_izquierdo_inferior,underexposure,CODAS+GRA+MABAC+SMARTER+VIKOR,,-1.16496,0.26565,0.46792
40c0650caf,Q2,150,sol:30,original,0.947,anterior_superior,poor_local_contrast,MABAC+SMARTER,,0.57746,-0.06649,0.10421
787705a61d,Q2,184,original,sol:24,0.8044,posterior_izquierdo_superior,low_contrast,,MABAC+SMARTER,-0.641,0.07182,-0.93125
b60029e073,Q2,195,original,sol:86,0.6733,anterior_superior,underexposure,,CODAS+MABAC+SMARTER+TOPSIS,0.22579,-0.28854,-0.109
9a5e3fe6d8,Q2,197,original,sol:46,0.8607,posterior_derecho_inferior,skewed_histogram,,MABAC+SMARTER,-0.69653,-0.10007,-0.05003
eab336798f,Q2,204,original,sol:42,0.9337,posterior_derecho_inferior,poor_local_contrast,,MABAC+SMARTER,-0.5753,0.07885,-0.15889
00932866ce,Q2,227,sol:51,original,0.5122,posterior_izquierdo_inferior,underexposure,CODAS+GRA+MABAC+SMARTER+TOPSIS+VIKOR,,-1.95398,0.33246,0.46352
106f1b418b,Q2,229,original,sol:21,0.954,posterior_derecho_inferior,poor_local_contrast,,MABAC+SMARTER,-0.49408,0.05354,-0.1635
6adfdc9914,Q2,237,sol:12,original,0.9284,anterior_inferior,poor_local_contrast,MABAC+SMARTER,,0.72477,-0.08386,0.24544
4e065615b5,Q2,249,sol:5,original,0.5348,posterior_izquierdo_inferior,underexposure,CODAS+GRA+MABAC+SMARTER,,-1.13114,0.29582,0.46223
a0d74f8976,Q2,256,original,sol:84,0.8691,anterior_superior,low_contrast,,CODAS+MABAC+SMARTER,-0.34475,0.07766,-1.03088
c44ed5243d,Q2,26,sol:78,original,0.9351,anterior_superior,low_contrast,CODAS+GRA+MABAC+PROMETHEEII+SMARTER,,0.01881,-0.16918,1.39309
9b9e602ab9,Q2,262,original,sol:23,0.9274,anterior_inferior,poor_local_contrast,,GRA+MABAC+SMARTER,-0.66072,0.07542,-0.27593
bcf2078e34,Q2,269,original,sol:4,0.8673,posterior_izquierdo_inferior,low_contrast,,CODAS+GRA+MABAC+SMARTER+VIKOR,-0.51648,0.01787,-0.5792
c564c82061,Q2,274,original,sol:84,0.7722,posterior_derecho_superior,overexposure,,MABAC+SMARTER,-0.54845,-0.19418,-0.20451
508160e503,Q2,294,original,sol:41,0.8661,anterior_superior,overexposure,,MABAC+SMARTER,-0.59616,-0.07307,-0.0791
5d3d96ba68,Q2,301,original,sol:92,0.8189,anterior_inferior,low_contrast,,CODAS+GRA+MABAC+SMARTER,-0.59414,0.08642,-0.97355
dfb158e8f3,Q2,305,sol:72,original,0.4676,posterior_izquierdo_superior,underexposure,CODAS+MABAC+SMARTER+TOPSIS,,-1.90362,0.35055,0.54723
a39a4afe4f,Q2,313,sol:32,original,0.8553,posterior_izquierdo_inferior,skewed_histogram,MABAC+SMARTER,,0.67893,0.10683,0.07096
7fbea72a2c,Q2,332,sol:35,original,0.5162,posterior_derecho_superior,underexposure,GRA+MABAC+SMARTER,,-1.63084,0.17846,0.56582
