image_id,sextante,oclusal_rel,contenido_dental,relativo_al_mejor
84,anterior_superior,0.795,16.8,0.501
150,anterior_superior,0.795,17.2,0.51
301,anterior_inferior,0.166,15.3,0.552
346,anterior_inferior,0.166,15.8,0.559
377,anterior_inferior,0.203,15.9,0.565
197,posterior_derecho_inferior,0.166,19.2,0.578
48,anterior_inferior,0.226,18.0,0.585
262,anterior_inferior,0.168,16.8,0.585
49,anterior_superior,0.795,19.7,0.597
64,anterior_superior,0.795,19.6,0.606
195,anterior_superior,0.795,21.4,0.608
229,posterior_derecho_inferior,0.228,16.1,0.625
342,posterior_derecho_inferior,0.166,16.0,0.628
365,posterior_izquierdo_inferior,0.166,16.1,0.633
138,posterior_izquierdo_inferior,0.166,19.6,0.656
469,anterior_superior,0.795,20.3,0.667
237,anterior_inferior,0.203,19.0,0.677
560,posterior_derecho_inferior,0.175,14.9,0.681
406,posterior_derecho_inferior,0.166,15.9,0.683
294,anterior_superior,0.795,20.5,0.694
269,posterior_izquierdo_inferior,0.205,19.1,0.695
26,anterior_superior,0.795,25.0,0.703
435,posterior_derecho_inferior,0.166,17.8,0.705
227,posterior_izquierdo_inferior,0.166,17.8,0.705
386,posterior_derecho_superior,0.795,20.8,0.71
456,anterior_inferior,0.333,19.8,0.713
350,posterior_derecho_inferior,0.166,22.5,0.721
274,posterior_derecho_superior,0.795,22.8,0.729
313,posterior_izquierdo_inferior,0.207,23.7,0.733
497,posterior_izquierdo_inferior,0.166,20.3,0.74
34,anterior_inferior,0.284,24.4,0.746
204,posterior_derecho_inferior,0.166,21.9,0.763
249,posterior_izquierdo_inferior,0.221,23.8,0.767
436,posterior_izquierdo_superior,0.795,23.6,0.776
356,posterior_izquierdo_superior,0.795,24.0,0.787
451,posterior_derecho_superior,0.795,24.6,0.805
99,posterior_izquierdo_superior,0.795,24.3,0.807
184,posterior_izquierdo_superior,0.795,25.6,0.835
541,posterior_derecho_superior,0.795,24.7,0.845
520,posterior_izquierdo_superior,0.795,24.3,0.853
305,posterior_izquierdo_superior,0.795,25.0,0.877
391,posterior_izquierdo_superior,0.795,26.8,0.878
551,posterior_derecho_superior,0.795,25.6,0.88
477,posterior_izquierdo_inferior,0.166,23.8,0.892
332,posterior_derecho_superior,0.795,23.8,0.91
472,posterior_derecho_superior,0.795,25.5,0.947
508,posterior_derecho_superior,0.795,26.0,0.95
513,posterior_derecho_superior,0.795,26.1,0.992
550,posterior_izquierdo_superior,0.795,31.9,0.999
256,anterior_superior,0.795,28.5,1.0
