image_id,a,b,methods_a,methods_b,ssim_ab,mae
1,4,31,GRA+CODAS,BellmanZadeh+PROMETHEEII+VIKOR,0.9905483460038017,5.296229062040666
1,4,50,GRA+CODAS,SMARTER+TOPSIS+MABAC,0.9966588218230833,2.210301131491916
1,31,50,BellmanZadeh+PROMETHEEII+VIKOR,SMARTER+TOPSIS+MABAC,0.9953215366275615,3.1303627204801567
107,3,50,VIKOR+CODAS,BellmanZadeh,0.9821260201299538,8.59961511667075
107,3,62,VIKOR+CODAS,SMARTER+GRA+MABAC,0.9983307813527347,0.5465831317368937
107,3,82,VIKOR+CODAS,TOPSIS,0.9947565155968828,4.105529994487996
107,3,86,VIKOR+CODAS,PROMETHEEII,0.9782188114808313,9.339005944543116
107,50,62,BellmanZadeh,SMARTER+GRA+MABAC,0.9807375019726243,9.00804312377511
107,50,82,BellmanZadeh,TOPSIS,0.9902478558403873,6.042178313326801
107,50,86,BellmanZadeh,PROMETHEEII,0.9517952697069513,15.368295163982117
107,62,82,SMARTER+GRA+MABAC,TOPSIS,0.9938469772711133,4.63429672188878
107,62,86,SMARTER+GRA+MABAC,PROMETHEEII,0.9796617603493245,8.905075349859137
107,82,86,TOPSIS,PROMETHEEII,0.9642371731263091,12.846931364067858
116,3,21,TOPSIS+GRA+CODAS,SMARTER+BellmanZadeh+VIKOR+MABAC,0.9839171149030155,7.8548075009186675
116,3,27,TOPSIS+GRA+CODAS,PROMETHEEII,0.8734494514216491,31.78046769736036
116,21,27,SMARTER+BellmanZadeh+VIKOR+MABAC,PROMETHEEII,0.920442060549004,24.357031919861587
118,0,15,GRA+CODAS,VIKOR,0.9847035177899349,6.486653964815042
118,0,29,GRA+CODAS,BellmanZadeh,0.9838542201337497,7.716171989833415
118,0,60,GRA+CODAS,TOPSIS,0.9983987540119443,0.377976577811122
118,0,72,GRA+CODAS,SMARTER+MABAC,0.9960108081276119,2.3963441825391967
118,0,89,GRA+CODAS,PROMETHEEII,0.9965195843139013,2.096340450453209
118,15,29,VIKOR,BellmanZadeh,0.9868983000506065,7.452978108923322
118,15,60,VIKOR,TOPSIS,0.9852149311570291,6.3361614251592355
118,15,72,VIKOR,SMARTER+MABAC,0.9851253117603421,6.255697651273885
118,15,89,VIKOR,PROMETHEEII,0.9850195834272072,6.35231035261514
118,29,60,BellmanZadeh,TOPSIS,0.9848743956003628,7.412715599736648
118,29,72,BellmanZadeh,SMARTER+MABAC,0.98974981323924,5.758790019445125
118,29,89,BellmanZadeh,PROMETHEEII,0.9885890165861586,6.117868844928957
118,60,72,TOPSIS,SMARTER+MABAC,0.9961430819421101,2.1859889836477215
118,60,89,TOPSIS,PROMETHEEII,0.9966581065745498,1.9760749364588437
118,72,89,SMARTER+MABAC,PROMETHEEII,0.9981531825202468,0.419039093122244
122,2,30,SMARTER+GRA+CODAS+MABAC,BellmanZadeh,0.9519345773178419,15.074007265127388
122,2,47,SMARTER+GRA+CODAS+MABAC,TOPSIS,0.9866687601511224,7.084239400875796
122,2,55,SMARTER+GRA+CODAS+MABAC,VIKOR,0.9947459210465958,3.7727977821839787
122,2,74,SMARTER+GRA+CODAS+MABAC,PROMETHEEII,0.9981651647079351,0.4535546683610975
122,30,47,BellmanZadeh,TOPSIS,0.9833526356003246,8.490733421882656
122,30,55,BellmanZadeh,VIKOR,0.9706148957951599,11.57529005006737
122,30,74,BellmanZadeh,PROMETHEEII,0.9494525184270179,15.46087721245713
122,47,55,TOPSIS,VIKOR,0.9954663831746632,3.3352791217540423
122,47,74,TOPSIS,PROMETHEEII,0.9852250496708008,7.500392825973788
122,55,74,VIKOR,PROMETHEEII,0.9940930583023535,4.19526800205169
124,4,5,GRA+CODAS,BellmanZadeh,0.9706740608682707,12.468592166385136
124,4,18,GRA+CODAS,PROMETHEEII+VIKOR,0.9927629799574322,4.369958826013513
124,4,43,GRA+CODAS,TOPSIS,0.9966688297450627,1.8204027660472972
