image_id,scheme,consensus_index,consensus_votes,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
1,roc,50,3,50,50,31,31,4,31,4,50
1,rs,50,3,50,50,31,12,4,12,4,50
1,equal,50,2,50,85,31,12,4,31,4,50
1,legacy,50,2,50,85,31,9,4,40,4,50
107,roc,62,3,62,82,50,86,62,3,3,62
107,rs,62,2,62,95,50,86,75,93,93,62
107,equal,62,1,62,28,50,86,75,53,83,93
107,legacy,62,1,62,28,50,21,75,53,83,44
116,roc,21,4,21,3,21,27,3,21,3,21
116,rs,21,4,21,65,21,27,3,21,46,21
116,equal,21,3,21,75,21,12,75,21,75,3
116,legacy,21,4,21,75,21,13,75,21,75,21
118,roc,72,2,72,60,29,89,0,15,0,72
118,rs,72,2,72,27,29,89,0,6,0,72
118,equal,72,2,72,33,29,78,0,29,0,72
118,legacy,72,1,72,27,29,89,33,96,0,11
122,roc,2,4,2,47,30,74,2,55,2,2
122,rs,2,4,2,99,30,74,2,99,2,2
122,equal,2,3,2,97,30,71,2,84,2,67
122,legacy,2,1,2,97,30,71,74,58,45,67
124,roc,97,2,97,43,5,18,4,18,4,97
124,rs,97,2,97,43,5,18,4,96,4,97
124,equal,97,2,97,43,5,18,4,60,4,97
124,legacy,5,3,97,43,5,5,4,5,4,18
132,roc,34,2,34,47,77,86,43,51,1,34
132,rs,34,2,34,47,77,86,43,51,43,34
132,equal,72,3,34,72,77,86,72,67,72,47
132,legacy,72,2,34,73,77,79,72,67,72,47
159,roc,80,6,80,80,65,86,80,80,80,80
159,rs,80,5,80,65,65,86,80,80,80,80
159,equal,80,4,80,24,65,53,80,80,89,80
159,legacy,80,4,80,24,65,53,80,80,49,80
161,roc,45,3,45,76,94,4,76,45,56,45
161,rs,45,3,45,11,94,4,76,45,60,45
161,equal,76,2,45,11,94,4,60,76,38,76
161,legacy,76,2,45,87,94,4,60,76,38,76
167,roc,71,3,71,75,58,4,71,68,1,71
167,rs,71,4,71,86,58,4,71,69,71,71
167,equal,58,2,71,20,58,4,4,58,72,15
167,legacy,4,2,71,81,58,4,4,70,5,15
169,roc,55,2,55,97,11,1,85,48,2,55
169,rs,55,2,55,16,11,1,85,47,2,55
169,equal,55,1,55,88,11,1,85,10,93,48
169,legacy,1,2,55,88,11,1,1,38,51,47
170,roc,58,3,58,58,33,38,61,35,3,58
170,rs,58,4,58,58,33,7,58,35,3,58
170,equal,58,3,58,4,33,7,3,58,4,58
170,legacy,58,4,58,4,33,7,58,58,4,58
171,roc,4,5,4,88,54,4,4,4,2,4
171,rs,4,4,4,94,54,4,4,30,2,4
171,equal,4,3,4,30,54,4,4,54,2,45
171,legacy,4,3,4,13,54,4,4,51,36,45
191,roc,77,4,77,63,62,68,77,77,69,77
191,rs,77,4,77,91,62,68,77,77,63,77
191,equal,77,3,77,34,62,77,63,48,34,77
191,legacy,77,4,77,34,62,77,77,58,34,77
194,roc,30,3,30,30,60,15,4,12,4,30
194,rs,30,3,30,4,60,18,4,30,4,30
194,equal,4,4,30,4,60,15,4,30,4,4
194,legacy,30,3,30,4,60,15,4,30,4,30
196,roc,16,3,16,99,60,91,16,6,51,16
196,rs,16,3,16,51,60,91,16,49,51,16
196,equal,16,1,16,25,60,26,51,52,66,97
196,legacy,16,1,16,25,60,26,51,48,32,97
205,roc,21,5,21,21,46,35,21,60,21,21
205,rs,21,5,21,21,46,35,21,60,21,21
205,equal,21,5,21,21,46,35,21,60,21,21
205,legacy,21,5,21,21,46,35,21,60,21,21
206,roc,77,2,77,66,75,23,5,91,5,77
206,rs,77,2,77,66,75,35,5,61,5,77
206,equal,93,2,77,93,75,35,7,75,7,93
206,legacy,75,2,77,93,75,35,7,75,7,59
21,roc,4,4,88,4,13,4,4,65,4,88
21,rs,4,4,88,4,13,4,4,26,4,88
21,equal,4,3,88,4,13,51,4,26,4,21
21,legacy,88,2,88,4,13,21,4,26,3,88
216,roc,78,4,78,75,49,0,78,78,22,78
216,rs,78,3,78,75,49,0,78,22,28,78
