image_id,degradation_type,pareto_size,processing_time,compromise_H,compromise_SSIM,compromise_VIF,compromise_Rx,compromise_Ry,compromise_Clip,consensus_index,consensus_votes,consensus_total,entropy_improvement,contrast_improvement,val_ssim_degraded,val_ssim_enhanced,val_ssim_recovery,val_vif_degraded,val_vif_enhanced,val_vif_recovery,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
227,underexposure,100,1964.546701669693,5.164885578005501,0.6279328754826882,1.089898494160776,5.0,9.0,1.5771998592119731,51,4,8,0.9940295729260678,0.09362781581559876,0.29546977706532096,0.5122147074650951,0.21674493039977416,0.6263740782480371,0.7932834821813765,0.1669094039333393,51,15,57,56,51,51,15,51
34,poor_local_contrast,100,1970.2613956928253,7.4146615373823135,0.911147419715216,1.097476645490056,2.0,2.0,1.0673076307433722,52,3,8,0.5066964137608183,0.10588088082535246,0.9946419416626361,0.9321591369338649,-0.06248280472877121,0.887358775565225,1.0989538492944884,0.21159507372926334,87,52,72,8,93,52,93,52
26,low_contrast,100,1971.4098405838013,7.228092374194236,0.8449876609917447,1.65826983708478,2.0,4.0,2.1410244395617033,78,2,8,1.193977039192375,0.16879583388756453,0.8601558908352109,0.9308181043038927,0.07066221346868173,0.3926879429155721,0.803679304746847,0.41099136183127494,78,45,28,4,4,87,78,96
346,skewed_histogram,100,1981.7725839614868,7.807083512552246,0.9206817084241342,0.9861217689582172,5.0,2.0,1.3414497777154337,98,2,8,0.725893720517762,0.06371266244025459,0.7983691357825162,0.8498165769266648,0.051447441144148565,0.9153512189841588,1.06737393427012,0.15202271528596123,11,98,5,13,98,51,68,12
551,skewed_histogram,100,1328.3504524230957,7.770540454623428,0.925982960593625,0.9805208966802011,4.0,5.0,1.2738536425760243,84,4,8,0.7588008357746059,0.04727874559887196,0.8339323740859952,0.835390006742814,0.0014576326568188636,0.9483293236510257,1.1265570273963028,0.17822770374527708,84,84,74,64,84,49,22,84
195,underexposure,100,1322.3277804851532,7.178346483221967,0.8827260993394656,1.014812629701609,2.0,2.0,1.0605769797081241,86,5,8,0.6407223094765406,0.09717843760937594,0.6024627749151065,0.6795368801684761,0.07707410525336966,0.9132919806894273,1.0472898289215045,0.13399784823207717,86,86,19,19,86,19,86,86
386,low_contrast,100,1331.0608932971954,7.349078849619961,0.845813034263098,1.377108568623972,8.0,2.0,2.0570068593910444,89,1,8,1.242404692945784,0.1694930638933288,0.7626393523369832,0.8280097196575427,0.06537036732055945,0.515365838711854,0.9018479675913462,0.3864821288794922,89,37,66,4,84,63,74,40
508,skewed_histogram,100,1323.4893169403076,7.632804208872232,0.8472063145505305,1.031110256029942,2.0,4.0,1.7676322287175048,42,1,8,0.6803367049346996,0.0879542311488597,0.9236461119331866,0.904122305156889,-0.019523806776297614,0.86977041715323,1.1896532688014132,0.3198828516481832,42,67,34,11,83,90,9,12
365,underexposure,100,1128.007202386856,3.66916217867402,0.5914278367074158,1.0794200163439474,10.0,7.0,1.4932702839916718,79,2,8,0.31191985600532,0.04007015363301841,0.14707913144228496,0.273621209498618,0.12654207805633305,0.36839546936370254,0.4510047326646652,0.08260926330096263,79,16,56,97,79,61,54,61
49,skewed_histogram,100,1129.3449993133545,7.487259826222375,0.7801815253200538,1.0170339605473921,6.0,3.0,1.6888021723279296,69,2,8,0.8130376086507471,0.09400362644322602,0.763323882952994,0.931560226346103,0.168236343393109,0.8592652150356804,1.1245769796283909,0.26531176459271044,69,25,42,7,3,26,24,69
